Watershed_designation,Fire_treatment,Year,Plot_number,Transect_number,Grass_cover,Shrub_cover
1c,annual_to_infrequent_reversal,1987,1,1,145,0
1c,annual_to_infrequent_reversal,1987,2,1,147.5,0
1c,annual_to_infrequent_reversal,1987,3,1,147.5,0
1c,annual_to_infrequent_reversal,1987,4,1,118.5,0
1c,annual_to_infrequent_reversal,1987,5,1,145,0
1c,annual_to_infrequent_reversal,1987,6,2,145,0
1c,annual_to_infrequent_reversal,1987,7,2,180,0
1c,annual_to_infrequent_reversal,1987,8,2,162.5,0
1c,annual_to_infrequent_reversal,1987,9,2,115,0
1c,annual_to_infrequent_reversal,1987,10,2,132.5,0
1c,annual_to_infrequent_reversal,1987,11,3,116,0
1c,annual_to_infrequent_reversal,1987,12,3,127.5,0
1c,annual_to_infrequent_reversal,1987,13,3,175.5,0
1c,annual_to_infrequent_reversal,1987,14,3,175,0
1c,annual_to_infrequent_reversal,1987,15,3,132.5,0
1c,annual_to_infrequent_reversal,1987,16,4,133,0
1c,annual_to_infrequent_reversal,1987,17,4,132.5,0
1c,annual_to_infrequent_reversal,1987,18,4,132.5,0
1c,annual_to_infrequent_reversal,1987,19,4,102,0
1c,annual_to_infrequent_reversal,1987,20,4,103.5,0
1c,annual_to_infrequent_reversal,1988,1,1,92,0
1c,annual_to_infrequent_reversal,1988,2,1,104,0
1c,annual_to_infrequent_reversal,1988,3,1,99,0
1c,annual_to_infrequent_reversal,1988,4,1,81,0
1c,annual_to_infrequent_reversal,1988,5,1,62.5,0
1c,annual_to_infrequent_reversal,1988,6,2,92,0
1c,annual_to_infrequent_reversal,1988,7,2,103.5,0
1c,annual_to_infrequent_reversal,1988,8,2,118,0
1c,annual_to_infrequent_reversal,1988,9,2,104,0
1c,annual_to_infrequent_reversal,1988,10,2,81,0
1c,annual_to_infrequent_reversal,1988,11,3,104.5,0
1c,annual_to_infrequent_reversal,1988,12,3,95.5,0
1c,annual_to_infrequent_reversal,1988,13,3,118.5,0
1c,annual_to_infrequent_reversal,1988,14,3,92.5,0
1c,annual_to_infrequent_reversal,1988,15,3,104.5,0
1c,annual_to_infrequent_reversal,1988,16,4,92.5,0
1c,annual_to_infrequent_reversal,1988,17,4,81.5,0
1c,annual_to_infrequent_reversal,1988,18,4,104,0
1c,annual_to_infrequent_reversal,1988,19,4,102,0
1c,annual_to_infrequent_reversal,1988,20,4,104,0
1c,annual_to_infrequent_reversal,1989,1,1,92,0
1c,annual_to_infrequent_reversal,1989,2,1,104,0
1c,annual_to_infrequent_reversal,1989,3,1,99,0
1c,annual_to_infrequent_reversal,1989,4,1,81,0
1c,annual_to_infrequent_reversal,1989,5,1,62.5,0
1c,annual_to_infrequent_reversal,1989,6,2,92,0
1c,annual_to_infrequent_reversal,1989,7,2,103.5,0
1c,annual_to_infrequent_reversal,1989,8,2,118,0
1c,annual_to_infrequent_reversal,1989,9,2,104,0
1c,annual_to_infrequent_reversal,1989,10,2,81,0
1c,annual_to_infrequent_reversal,1989,11,3,104.5,0
1c,annual_to_infrequent_reversal,1989,12,3,95.5,0
1c,annual_to_infrequent_reversal,1989,13,3,118.5,0
1c,annual_to_infrequent_reversal,1989,14,3,92.5,0
1c,annual_to_infrequent_reversal,1989,15,3,104.5,0
1c,annual_to_infrequent_reversal,1989,16,4,92.5,0
1c,annual_to_infrequent_reversal,1989,17,4,81.5,0
1c,annual_to_infrequent_reversal,1989,18,4,104,0
1c,annual_to_infrequent_reversal,1989,19,4,102,0
1c,annual_to_infrequent_reversal,1989,20,4,104,0
1c,annual_to_infrequent_reversal,1990,1,1,98.5,0
1c,annual_to_infrequent_reversal,1990,2,1,102,0
1c,annual_to_infrequent_reversal,1990,3,1,84.5,0
1c,annual_to_infrequent_reversal,1990,4,1,107,0
1c,annual_to_infrequent_reversal,1990,5,1,92.5,0
1c,annual_to_infrequent_reversal,1990,6,2,103.5,0
1c,annual_to_infrequent_reversal,1990,7,2,103.5,0
1c,annual_to_infrequent_reversal,1990,8,2,110,0
1c,annual_to_infrequent_reversal,1990,9,2,110.5,0
1c,annual_to_infrequent_reversal,1990,10,2,103.5,0
1c,annual_to_infrequent_reversal,1990,11,3,125.5,0
1c,annual_to_infrequent_reversal,1990,12,3,80,0
1c,annual_to_infrequent_reversal,1990,13,3,121.5,0
1c,annual_to_infrequent_reversal,1990,14,3,62.5,0
1c,annual_to_infrequent_reversal,1990,15,3,81,0
1c,annual_to_infrequent_reversal,1990,16,4,115,0
1c,annual_to_infrequent_reversal,1990,17,4,81,0
1c,annual_to_infrequent_reversal,1990,18,4,104,0
1c,annual_to_infrequent_reversal,1990,19,4,118.5,0
1c,annual_to_infrequent_reversal,1990,20,4,99,0
1c,annual_to_infrequent_reversal,1993,1,1,80,0
1c,annual_to_infrequent_reversal,1993,2,1,112.5,0
1c,annual_to_infrequent_reversal,1993,3,1,95,0
1c,annual_to_infrequent_reversal,1993,4,1,95,0
1c,annual_to_infrequent_reversal,1993,5,1,62.5,0
1c,annual_to_infrequent_reversal,1993,6,2,92.5,0
1c,annual_to_infrequent_reversal,1993,7,2,92.5,0
1c,annual_to_infrequent_reversal,1993,8,2,92.5,0
1c,annual_to_infrequent_reversal,1993,9,2,96,0
1c,annual_to_infrequent_reversal,1993,10,2,110,0
1c,annual_to_infrequent_reversal,1993,11,3,100,0
1c,annual_to_infrequent_reversal,1993,12,3,92.5,0
1c,annual_to_infrequent_reversal,1993,13,3,92.5,0
1c,annual_to_infrequent_reversal,1993,14,3,92.5,0
1c,annual_to_infrequent_reversal,1993,15,3,92.5,0
1c,annual_to_infrequent_reversal,1993,16,4,83.5,0
1c,annual_to_infrequent_reversal,1993,17,4,80,0
1c,annual_to_infrequent_reversal,1993,18,4,92.5,0
1c,annual_to_infrequent_reversal,1993,19,4,107.5,0
1c,annual_to_infrequent_reversal,1993,20,4,96,0
1c,annual_to_infrequent_reversal,1994,1,1,80,0
1c,annual_to_infrequent_reversal,1994,2,1,95,0
1c,annual_to_infrequent_reversal,1994,3,1,112.5,0
1c,annual_to_infrequent_reversal,1994,4,1,95,0
1c,annual_to_infrequent_reversal,1994,5,1,80,0
1c,annual_to_infrequent_reversal,1994,6,2,92.5,0
1c,annual_to_infrequent_reversal,1994,7,2,80,0
1c,annual_to_infrequent_reversal,1994,8,2,80,0
1c,annual_to_infrequent_reversal,1994,9,2,83.5,0
1c,annual_to_infrequent_reversal,1994,10,2,97.5,0
1c,annual_to_infrequent_reversal,1994,11,3,100,0
1c,annual_to_infrequent_reversal,1994,12,3,92.5,0
1c,annual_to_infrequent_reversal,1994,13,3,107.5,0
1c,annual_to_infrequent_reversal,1994,14,3,92.5,0
1c,annual_to_infrequent_reversal,1994,15,3,110,0
1c,annual_to_infrequent_reversal,1994,16,4,96,0
1c,annual_to_infrequent_reversal,1994,17,4,92.5,0
1c,annual_to_infrequent_reversal,1994,18,4,92.5,0
1c,annual_to_infrequent_reversal,1994,19,4,107.5,0
1c,annual_to_infrequent_reversal,1994,20,4,96,0
1c,annual_to_infrequent_reversal,1995,1,1,110,0
1c,annual_to_infrequent_reversal,1995,2,1,95,0
1c,annual_to_infrequent_reversal,1995,3,1,142.5,0
1c,annual_to_infrequent_reversal,1995,4,1,125,0
1c,annual_to_infrequent_reversal,1995,5,1,80,0
1c,annual_to_infrequent_reversal,1995,6,2,92.5,0
1c,annual_to_infrequent_reversal,1995,7,2,80,0
1c,annual_to_infrequent_reversal,1995,8,2,92.5,0
1c,annual_to_infrequent_reversal,1995,9,2,96,0
1c,annual_to_infrequent_reversal,1995,10,2,110,0
1c,annual_to_infrequent_reversal,1995,11,3,100.5,0
1c,annual_to_infrequent_reversal,1995,12,3,115,0
1c,annual_to_infrequent_reversal,1995,13,3,125,0
1c,annual_to_infrequent_reversal,1995,14,3,115,0
1c,annual_to_infrequent_reversal,1995,15,3,115,0
1c,annual_to_infrequent_reversal,1995,16,4,93,0
1c,annual_to_infrequent_reversal,1995,17,4,92.5,0
1c,annual_to_infrequent_reversal,1995,18,4,96,0
1c,annual_to_infrequent_reversal,1995,19,4,107.5,0
1c,annual_to_infrequent_reversal,1995,20,4,96,0
1c,annual_to_infrequent_reversal,1996,1,1,110,0
1c,annual_to_infrequent_reversal,1996,2,1,95,0
1c,annual_to_infrequent_reversal,1996,3,1,112.5,0
1c,annual_to_infrequent_reversal,1996,4,1,112.5,0
1c,annual_to_infrequent_reversal,1996,5,1,110,0
1c,annual_to_infrequent_reversal,1996,6,2,104,0
1c,annual_to_infrequent_reversal,1996,7,2,92.5,0
1c,annual_to_infrequent_reversal,1996,8,2,92.5,0
1c,annual_to_infrequent_reversal,1996,9,2,96,0
1c,annual_to_infrequent_reversal,1996,10,2,110,0
1c,annual_to_infrequent_reversal,1996,11,3,100.5,0
1c,annual_to_infrequent_reversal,1996,12,3,115,0
1c,annual_to_infrequent_reversal,1996,13,3,95,0
1c,annual_to_infrequent_reversal,1996,14,3,115,0
1c,annual_to_infrequent_reversal,1996,15,3,115,0
1c,annual_to_infrequent_reversal,1996,16,4,110.5,0
1c,annual_to_infrequent_reversal,1996,17,4,110,0
1c,annual_to_infrequent_reversal,1996,18,4,93,0
1c,annual_to_infrequent_reversal,1996,19,4,107.5,0
1c,annual_to_infrequent_reversal,1996,20,4,96,0
1c,annual_to_infrequent_reversal,1997,1,1,110,0
1c,annual_to_infrequent_reversal,1997,2,1,95,0
1c,annual_to_infrequent_reversal,1997,3,1,112.5,0
1c,annual_to_infrequent_reversal,1997,4,1,112.5,0
1c,annual_to_infrequent_reversal,1997,5,1,110,0
1c,annual_to_infrequent_reversal,1997,6,2,104,0
1c,annual_to_infrequent_reversal,1997,7,2,92.5,0
1c,annual_to_infrequent_reversal,1997,8,2,92.5,0
1c,annual_to_infrequent_reversal,1997,9,2,96,0
1c,annual_to_infrequent_reversal,1997,10,2,110,0
1c,annual_to_infrequent_reversal,1997,11,3,100.5,0
1c,annual_to_infrequent_reversal,1997,12,3,115,0
1c,annual_to_infrequent_reversal,1997,13,3,95,0
1c,annual_to_infrequent_reversal,1997,14,3,115,0
1c,annual_to_infrequent_reversal,1997,15,3,115,0
1c,annual_to_infrequent_reversal,1997,16,4,63,0
1c,annual_to_infrequent_reversal,1997,17,4,110,0
1c,annual_to_infrequent_reversal,1997,18,4,93,0
1c,annual_to_infrequent_reversal,1997,19,4,107.5,0
1c,annual_to_infrequent_reversal,1997,20,4,96,0
1c,annual_to_infrequent_reversal,1998,1,1,110,0
1c,annual_to_infrequent_reversal,1998,2,1,95,0
1c,annual_to_infrequent_reversal,1998,3,1,95,0
1c,annual_to_infrequent_reversal,1998,4,1,95,0
1c,annual_to_infrequent_reversal,1998,5,1,110,0
1c,annual_to_infrequent_reversal,1998,6,2,104,0
1c,annual_to_infrequent_reversal,1998,7,2,92.5,0
1c,annual_to_infrequent_reversal,1998,8,2,92.5,0
1c,annual_to_infrequent_reversal,1998,9,2,96,0
1c,annual_to_infrequent_reversal,1998,10,2,110,0
1c,annual_to_infrequent_reversal,1998,11,3,100.5,0
1c,annual_to_infrequent_reversal,1998,12,3,115,0
1c,annual_to_infrequent_reversal,1998,13,3,95,0
1c,annual_to_infrequent_reversal,1998,14,3,115,0
1c,annual_to_infrequent_reversal,1998,15,3,115,0
1c,annual_to_infrequent_reversal,1998,16,4,110.5,0
1c,annual_to_infrequent_reversal,1998,17,4,110,0
1c,annual_to_infrequent_reversal,1998,18,4,93,0
1c,annual_to_infrequent_reversal,1998,19,4,107.5,0
1c,annual_to_infrequent_reversal,1998,20,4,96,0
1c,annual_to_infrequent_reversal,1999,1,1,110,0
1c,annual_to_infrequent_reversal,1999,2,1,95,0
1c,annual_to_infrequent_reversal,1999,3,1,95,0
1c,annual_to_infrequent_reversal,1999,4,1,95,0
1c,annual_to_infrequent_reversal,1999,5,1,110,0
1c,annual_to_infrequent_reversal,1999,6,2,104,0
1c,annual_to_infrequent_reversal,1999,7,2,92.5,0
1c,annual_to_infrequent_reversal,1999,8,2,92.5,0
1c,annual_to_infrequent_reversal,1999,9,2,96,0
1c,annual_to_infrequent_reversal,1999,10,2,110,0
1c,annual_to_infrequent_reversal,1999,11,3,100.5,0
1c,annual_to_infrequent_reversal,1999,12,3,115,0
1c,annual_to_infrequent_reversal,1999,13,3,95,0
1c,annual_to_infrequent_reversal,1999,14,3,115,0
1c,annual_to_infrequent_reversal,1999,15,3,115,0
1c,annual_to_infrequent_reversal,1999,16,4,110.5,0
1c,annual_to_infrequent_reversal,1999,17,4,110,0
1c,annual_to_infrequent_reversal,1999,18,4,93,0
1c,annual_to_infrequent_reversal,1999,19,4,107.5,0
1c,annual_to_infrequent_reversal,1999,20,4,96,0
r20a,annual_to_infrequent_reversal,2000,1,1,80,0
r20a,annual_to_infrequent_reversal,2000,2,1,131,0
r20a,annual_to_infrequent_reversal,2000,3,1,92.5,0
r20a,annual_to_infrequent_reversal,2000,4,1,125,0
r20a,annual_to_infrequent_reversal,2000,5,1,112.5,0
r20a,annual_to_infrequent_reversal,2000,6,2,112.5,0
r20a,annual_to_infrequent_reversal,2000,7,2,95,0
r20a,annual_to_infrequent_reversal,2000,8,2,83.5,0
r20a,annual_to_infrequent_reversal,2000,9,2,110,0
r20a,annual_to_infrequent_reversal,2000,10,2,110,0
r20a,annual_to_infrequent_reversal,2000,11,3,83.5,0
r20a,annual_to_infrequent_reversal,2000,12,3,98.5,0
r20a,annual_to_infrequent_reversal,2000,13,3,103.5,0
r20a,annual_to_infrequent_reversal,2000,14,3,107,0
r20a,annual_to_infrequent_reversal,2000,15,3,100.5,0
r20a,annual_to_infrequent_reversal,2000,16,4,100.5,0
r20a,annual_to_infrequent_reversal,2000,17,4,107,0
r20a,annual_to_infrequent_reversal,2000,18,4,110,0
r20a,annual_to_infrequent_reversal,2000,19,4,107,0
r20a,annual_to_infrequent_reversal,2000,20,4,96,0
r20a,annual_to_infrequent_reversal,2001,1,1,80,0
r20a,annual_to_infrequent_reversal,2001,2,1,131,0
r20a,annual_to_infrequent_reversal,2001,3,1,92.5,0
r20a,annual_to_infrequent_reversal,2001,4,1,125,0
r20a,annual_to_infrequent_reversal,2001,5,1,112.5,0
r20a,annual_to_infrequent_reversal,2001,6,2,112.5,0
r20a,annual_to_infrequent_reversal,2001,7,2,95,0
r20a,annual_to_infrequent_reversal,2001,8,2,83.5,0
r20a,annual_to_infrequent_reversal,2001,9,2,110,0
r20a,annual_to_infrequent_reversal,2001,10,2,110,0
r20a,annual_to_infrequent_reversal,2001,11,3,83.5,0
r20a,annual_to_infrequent_reversal,2001,12,3,98.5,0
r20a,annual_to_infrequent_reversal,2001,13,3,103.5,0
r20a,annual_to_infrequent_reversal,2001,14,3,107,0
r20a,annual_to_infrequent_reversal,2001,15,3,100.5,0
r20a,annual_to_infrequent_reversal,2001,16,4,100.5,0
r20a,annual_to_infrequent_reversal,2001,17,4,107,0
r20a,annual_to_infrequent_reversal,2001,18,4,110,0
r20a,annual_to_infrequent_reversal,2001,19,4,107,0
r20a,annual_to_infrequent_reversal,2001,20,4,96,0
r20a,annual_to_infrequent_reversal,2002,1,1,80,0
r20a,annual_to_infrequent_reversal,2002,2,1,131,0
r20a,annual_to_infrequent_reversal,2002,3,1,92.5,0
r20a,annual_to_infrequent_reversal,2002,4,1,95,0
r20a,annual_to_infrequent_reversal,2002,5,1,112.5,0
r20a,annual_to_infrequent_reversal,2002,6,2,125,0
r20a,annual_to_infrequent_reversal,2002,7,2,95,0
r20a,annual_to_infrequent_reversal,2002,8,2,83.5,0
r20a,annual_to_infrequent_reversal,2002,9,2,110,0
r20a,annual_to_infrequent_reversal,2002,10,2,110,0
r20a,annual_to_infrequent_reversal,2002,11,3,83.5,0
r20a,annual_to_infrequent_reversal,2002,12,3,98.5,0
r20a,annual_to_infrequent_reversal,2002,13,3,103.5,0
r20a,annual_to_infrequent_reversal,2002,14,3,107,0
r20a,annual_to_infrequent_reversal,2002,15,3,103.5,0
r20a,annual_to_infrequent_reversal,2002,16,4,89,0
r20a,annual_to_infrequent_reversal,2002,17,4,107,0
r20a,annual_to_infrequent_reversal,2002,18,4,110,0
r20a,annual_to_infrequent_reversal,2002,19,4,107,0
r20a,annual_to_infrequent_reversal,2002,20,4,96,0
r20a,annual_to_infrequent_reversal,2003,1,1,96,0
r20a,annual_to_infrequent_reversal,2003,2,1,107,0
r20a,annual_to_infrequent_reversal,2003,3,1,80,0
r20a,annual_to_infrequent_reversal,2003,4,1,107,0
r20a,annual_to_infrequent_reversal,2003,5,1,89,0
r20a,annual_to_infrequent_reversal,2003,6,2,103.5,0
r20a,annual_to_infrequent_reversal,2003,7,2,107,0
r20a,annual_to_infrequent_reversal,2003,8,2,103.5,0
r20a,annual_to_infrequent_reversal,2003,9,2,98.5,0
r20a,annual_to_infrequent_reversal,2003,10,2,83.5,0
r20a,annual_to_infrequent_reversal,2003,11,3,110,0
r20a,annual_to_infrequent_reversal,2003,12,3,110,0
r20a,annual_to_infrequent_reversal,2003,13,3,83.5,0
r20a,annual_to_infrequent_reversal,2003,14,3,95,0
r20a,annual_to_infrequent_reversal,2003,15,3,125,0
r20a,annual_to_infrequent_reversal,2003,16,4,95,0
r20a,annual_to_infrequent_reversal,2003,17,4,95,0
r20a,annual_to_infrequent_reversal,2003,18,4,92.5,0
r20a,annual_to_infrequent_reversal,2003,19,4,101,0
r20a,annual_to_infrequent_reversal,2003,20,4,80,0
r20a,annual_to_infrequent_reversal,2004,1,1,93,0
r20a,annual_to_infrequent_reversal,2004,2,1,107,0
r20a,annual_to_infrequent_reversal,2004,3,1,80,0
r20a,annual_to_infrequent_reversal,2004,4,1,84.5,0
r20a,annual_to_infrequent_reversal,2004,5,1,66.5,0
r20a,annual_to_infrequent_reversal,2004,6,2,103.5,0
r20a,annual_to_infrequent_reversal,2004,7,2,104,0
r20a,annual_to_infrequent_reversal,2004,8,2,103.5,0
r20a,annual_to_infrequent_reversal,2004,9,2,81,0
r20a,annual_to_infrequent_reversal,2004,10,2,77.5,0
r20a,annual_to_infrequent_reversal,2004,11,3,110,0
r20a,annual_to_infrequent_reversal,2004,12,3,110,0
r20a,annual_to_infrequent_reversal,2004,13,3,83.5,0
r20a,annual_to_infrequent_reversal,2004,14,3,95,0
r20a,annual_to_infrequent_reversal,2004,15,3,112.5,0
r20a,annual_to_infrequent_reversal,2004,16,4,77.5,0
r20a,annual_to_infrequent_reversal,2004,17,4,77.5,0
r20a,annual_to_infrequent_reversal,2004,18,4,92.5,0
r20a,annual_to_infrequent_reversal,2004,19,4,98,0
r20a,annual_to_infrequent_reversal,2004,20,4,80,0
r20a,annual_to_infrequent_reversal,2005,1,1,81.5,0
r20a,annual_to_infrequent_reversal,2005,2,1,107,0
r20a,annual_to_infrequent_reversal,2005,3,1,80,0
r20a,annual_to_infrequent_reversal,2005,4,1,84.5,0
r20a,annual_to_infrequent_reversal,2005,5,1,69.5,0
r20a,annual_to_infrequent_reversal,2005,6,2,92,0
r20a,annual_to_infrequent_reversal,2005,7,2,104,0
r20a,annual_to_infrequent_reversal,2005,8,2,104.5,0
r20a,annual_to_infrequent_reversal,2005,9,2,92,0
r20a,annual_to_infrequent_reversal,2005,10,2,84.5,0
r20a,annual_to_infrequent_reversal,2005,11,3,68.5,0
r20a,annual_to_infrequent_reversal,2005,12,3,115,0
r20a,annual_to_infrequent_reversal,2005,13,3,102,0
r20a,annual_to_infrequent_reversal,2005,14,3,95,0
r20a,annual_to_infrequent_reversal,2005,15,3,112.5,0
r20a,annual_to_infrequent_reversal,2005,16,4,83.5,0
r20a,annual_to_infrequent_reversal,2005,17,4,66,0
r20a,annual_to_infrequent_reversal,2005,18,4,92.5,0
r20a,annual_to_infrequent_reversal,2005,19,4,80,0
r20a,annual_to_infrequent_reversal,2005,20,4,98.5,0
r20a,annual_to_infrequent_reversal,2006,1,1,99,0
r20a,annual_to_infrequent_reversal,2006,2,1,107,0
r20a,annual_to_infrequent_reversal,2006,3,1,80,0
r20a,annual_to_infrequent_reversal,2006,4,1,84.5,0
r20a,annual_to_infrequent_reversal,2006,5,1,81,0
r20a,annual_to_infrequent_reversal,2006,6,2,103.5,0
r20a,annual_to_infrequent_reversal,2006,7,2,98.5,0
r20a,annual_to_infrequent_reversal,2006,8,2,103.5,0
r20a,annual_to_infrequent_reversal,2006,9,2,100.5,0
r20a,annual_to_infrequent_reversal,2006,10,2,96,0
r20a,annual_to_infrequent_reversal,2006,11,3,80,0
r20a,annual_to_infrequent_reversal,2006,12,3,115,0
r20a,annual_to_infrequent_reversal,2006,13,3,99,0
r20a,annual_to_infrequent_reversal,2006,14,3,95,0
r20a,annual_to_infrequent_reversal,2006,15,3,112.5,0
r20a,annual_to_infrequent_reversal,2006,16,4,95,0
r20a,annual_to_infrequent_reversal,2006,17,4,66,0
r20a,annual_to_infrequent_reversal,2006,18,4,92.5,0
r20a,annual_to_infrequent_reversal,2006,19,4,80,0
r20a,annual_to_infrequent_reversal,2006,20,4,98.5,0
r20a,annual_to_infrequent_reversal,2007,1,1,99,0
r20a,annual_to_infrequent_reversal,2007,2,1,104,0
r20a,annual_to_infrequent_reversal,2007,3,1,97.5,0
r20a,annual_to_infrequent_reversal,2007,4,1,96,0
r20a,annual_to_infrequent_reversal,2007,5,1,81,0
r20a,annual_to_infrequent_reversal,2007,6,2,103.5,0
r20a,annual_to_infrequent_reversal,2007,7,2,99,0
r20a,annual_to_infrequent_reversal,2007,8,2,103.5,0
r20a,annual_to_infrequent_reversal,2007,9,2,100.5,0
r20a,annual_to_infrequent_reversal,2007,10,2,96,0
r20a,annual_to_infrequent_reversal,2007,11,3,80,0
r20a,annual_to_infrequent_reversal,2007,12,3,115,0
r20a,annual_to_infrequent_reversal,2007,13,3,102,0
r20a,annual_to_infrequent_reversal,2007,14,3,95,0
r20a,annual_to_infrequent_reversal,2007,15,3,112.5,0
r20a,annual_to_infrequent_reversal,2007,16,4,95,0
r20a,annual_to_infrequent_reversal,2007,17,4,43,0
r20a,annual_to_infrequent_reversal,2007,18,4,92.5,0
r20a,annual_to_infrequent_reversal,2007,19,4,80.5,0
r20a,annual_to_infrequent_reversal,2007,20,4,98.5,0
r20a,annual_to_infrequent_reversal,2008,1,1,118.5,0
r20a,annual_to_infrequent_reversal,2008,2,1,116,0
r20a,annual_to_infrequent_reversal,2008,3,1,110,0
r20a,annual_to_infrequent_reversal,2008,4,1,115.5,0
r20a,annual_to_infrequent_reversal,2008,5,1,100.5,0
r20a,annual_to_infrequent_reversal,2008,6,2,113,0
r20a,annual_to_infrequent_reversal,2008,7,2,118.5,0
r20a,annual_to_infrequent_reversal,2008,8,2,113,0
r20a,annual_to_infrequent_reversal,2008,9,2,100.5,0
r20a,annual_to_infrequent_reversal,2008,10,2,107,0
r20a,annual_to_infrequent_reversal,2008,11,3,92.5,0
r20a,annual_to_infrequent_reversal,2008,12,3,103.5,0
r20a,annual_to_infrequent_reversal,2008,13,3,107,0
r20a,annual_to_infrequent_reversal,2008,14,3,95,0
r20a,annual_to_infrequent_reversal,2008,15,3,112.5,0
r20a,annual_to_infrequent_reversal,2008,16,4,107.5,0
r20a,annual_to_infrequent_reversal,2008,17,4,43,0
r20a,annual_to_infrequent_reversal,2008,18,4,103.5,0
r20a,annual_to_infrequent_reversal,2008,19,4,121.5,0
r20a,annual_to_infrequent_reversal,2008,20,4,81,0
r20a,annual_to_infrequent_reversal,2009,1,1,99,0
r20a,annual_to_infrequent_reversal,2009,2,1,103.5,0
r20a,annual_to_infrequent_reversal,2009,3,1,68.5,0
r20a,annual_to_infrequent_reversal,2009,4,1,92.5,0
r20a,annual_to_infrequent_reversal,2009,5,1,92,0
r20a,annual_to_infrequent_reversal,2009,6,2,48,0
r20a,annual_to_infrequent_reversal,2009,7,2,72,0
r20a,annual_to_infrequent_reversal,2009,8,2,89,0
r20a,annual_to_infrequent_reversal,2009,9,2,100,0
r20a,annual_to_infrequent_reversal,2009,10,2,107,0
r20a,annual_to_infrequent_reversal,2009,11,3,62.5,0
r20a,annual_to_infrequent_reversal,2009,12,3,92,0
r20a,annual_to_infrequent_reversal,2009,13,3,107,0
r20a,annual_to_infrequent_reversal,2009,14,3,99,0
r20a,annual_to_infrequent_reversal,2009,15,3,96,0
r20a,annual_to_infrequent_reversal,2009,16,4,96,0
r20a,annual_to_infrequent_reversal,2009,17,4,22.5,0
r20a,annual_to_infrequent_reversal,2009,18,4,78,0
r20a,annual_to_infrequent_reversal,2009,19,4,78.5,0
r20a,annual_to_infrequent_reversal,2009,20,4,69.5,0
r20a,annual_to_infrequent_reversal,2010,1,1,80.5,0
r20a,annual_to_infrequent_reversal,2010,2,1,63,0
r20a,annual_to_infrequent_reversal,2010,3,1,68.5,0
r20a,annual_to_infrequent_reversal,2010,4,1,68.5,0
r20a,annual_to_infrequent_reversal,2010,5,1,78,0
r20a,annual_to_infrequent_reversal,2010,6,2,65.5,0
r20a,annual_to_infrequent_reversal,2010,7,2,48.5,0
r20a,annual_to_infrequent_reversal,2010,8,2,66,0
r20a,annual_to_infrequent_reversal,2010,9,2,66,0
r20a,annual_to_infrequent_reversal,2010,10,2,81.5,0
r20a,annual_to_infrequent_reversal,2010,11,3,33.5,0
r20a,annual_to_infrequent_reversal,2010,12,3,89,0
r20a,annual_to_infrequent_reversal,2010,13,3,107,0
r20a,annual_to_infrequent_reversal,2010,14,3,98.5,0
r20a,annual_to_infrequent_reversal,2010,15,3,84.5,0
r20a,annual_to_infrequent_reversal,2010,16,4,72,0
r20a,annual_to_infrequent_reversal,2010,17,4,22,0
r20a,annual_to_infrequent_reversal,2010,18,4,66,0
r20a,annual_to_infrequent_reversal,2010,19,4,48,0
r20a,annual_to_infrequent_reversal,2010,20,4,69.5,0
r20a,annual_to_infrequent_reversal,2011,1,1,81.5,0
r20a,annual_to_infrequent_reversal,2011,2,1,51,0
r20a,annual_to_infrequent_reversal,2011,3,1,51,0
r20a,annual_to_infrequent_reversal,2011,4,1,51.5,0
r20a,annual_to_infrequent_reversal,2011,5,1,66.5,0
r20a,annual_to_infrequent_reversal,2011,6,2,48,0
r20a,annual_to_infrequent_reversal,2011,7,2,22.5,0
r20a,annual_to_infrequent_reversal,2011,8,2,88.5,0
r20a,annual_to_infrequent_reversal,2011,9,2,66,0
r20a,annual_to_infrequent_reversal,2011,10,2,70,0
r20a,annual_to_infrequent_reversal,2011,11,3,33.5,0
r20a,annual_to_infrequent_reversal,2011,12,3,88.5,0
r20a,annual_to_infrequent_reversal,2011,13,3,107,0
r20a,annual_to_infrequent_reversal,2011,14,3,80,0
r20a,annual_to_infrequent_reversal,2011,15,3,81.5,0
r20a,annual_to_infrequent_reversal,2011,16,4,69,0
r20a,annual_to_infrequent_reversal,2011,17,4,33.5,0
r20a,annual_to_infrequent_reversal,2011,18,4,66.5,0
r20a,annual_to_infrequent_reversal,2011,19,4,48,0
r20a,annual_to_infrequent_reversal,2011,20,4,70,0
r20a,annual_to_infrequent_reversal,2012,1,1,93,0
r20a,annual_to_infrequent_reversal,2012,2,1,33.5,0
r20a,annual_to_infrequent_reversal,2012,3,1,51,0
r20a,annual_to_infrequent_reversal,2012,4,1,51.5,0
r20a,annual_to_infrequent_reversal,2012,5,1,66.5,0
r20a,annual_to_infrequent_reversal,2012,6,2,36.5,3.5
r20a,annual_to_infrequent_reversal,2012,7,2,22.5,0
r20a,annual_to_infrequent_reversal,2012,8,2,88.5,0.5
r20a,annual_to_infrequent_reversal,2012,9,2,66,0
r20a,annual_to_infrequent_reversal,2012,10,2,70,0
r20a,annual_to_infrequent_reversal,2012,11,3,22,0.5
r20a,annual_to_infrequent_reversal,2012,12,3,66,0
r20a,annual_to_infrequent_reversal,2012,13,3,96,0
r20a,annual_to_infrequent_reversal,2012,14,3,80,0
